rank,time,athlete,club,category,distance,competition_date,competition_type,competition_name,location,ligue,department,type,level
2,13'35'',TROUCHE Louise,Figeac Ac,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,14'09'',JOHNSON Jade,Figeac Ac,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,14'23'',MAURY Roxane,Cahors A,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,14'31'',GAUCHER Elea,Figeac Ac,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,14'39'',BERTRAND Garance,Ac Gigouzac Saint Germain,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,14'44'',LAPOTRE Juliette,Cahors A,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,15'59'',FRAYSSI Coline,Ac Gigouzac Saint Germain,BEF/11,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,16'01'',BRU Cloe,Sporting Club Gourdon Athletis,BEF/12,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,15pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,14'44'',BERTRAND Marius,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'52'',DEILHES Hugo,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,14'55'',COURTIOL Raphael,,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,15'00'',RICHARD Noe,Figeac Ac,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,15'07'',LEJEUNE Juliette,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,16'13'',MARTY Arthur,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,16'19'',BESSIERES Helio,,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,16'54'',BAUDRIT Nolan,Ac Gigouzac Saint Germain,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,16'59'',PHILIPPE BLASIN Leelou,Cahors A,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,17'49'',MILHAVET Mathieu,Figeac Ac,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,18'01'',DOS SANTOS Jules,Sporting Club Gourdon Athletis,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,18'21'',CONTIVAL Elina,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,18'41'',GUENEGO Sarah,Sporting Club Gourdon Athletis,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,19'11'',LALAQUE Guilliann,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,20'51'',JARDIDT Mateo,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,20'58'',IMBERT Fernand,Ac Gigouzac Saint Germain,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'45'',MOYART Jade,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'50'',FRAYSSINET Mathis,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,23'53'',JACOB Jade,Pompiers,CAF/08,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,24'01'',ROUZIER Timothe,Pompiers,MIM/10,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,25'56'',LASFARGUES Chloe,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,26'55'',LEPORC Clarisse,Pompiers,CAF/07,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,27'06'',CHENE Dorian,Pompiers,MIM/09,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,13pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,31pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,39pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,21'53'',CHADOUTEAU Loreano,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,22'28'',RODRIGUES Jules,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,23'49'',SAMMUT Magali,S/l Saint-cere Athletisme Club,M1F/80,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,23'50'',COLMAR Caroline,S/l Saint-cere Athletisme Club,M5F/63,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,25'01'',DELBUT Celine,Ac Gigouzac Saint Germain,SEF/90,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,25'22'',BOTTREAU Isabelle,Ac Gigouzac Saint Germain,M3F/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,25'48'',VIGUIE Florence,S/l Saint-cere Athletisme Club,M4F/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,26'25'',LAPOTRE Antoinette,Cahors A,M1F/81,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,26'35'',BELLICAULT Emmanuelle,Ac Gigouzac Saint Germain,M0F/89,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,26'54'',PEYRATOUT Maelle,S/l Saint-cere Athletisme Club,SEF/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,27'22'',PAUZIE Maryline,S/l Saint-cere Athletisme Club,M5F/64,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,27'35'',MUSCAT Marlene,Athle 46,M0F/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,28'00'',VAYSSE Julie,Athle 46,M0F/89,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
11,28'04'',BONAFE Laetitia,Saint-cere Athletisme Club*,M1F/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
12,28'21'',LAMICHE Coralie,Athle 46,M1F/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,29'28'',LEJEUNE Anne Sophie,Pompiers,M1F/80,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,30'16'',IMBERT Fanny,,M2F/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,31'00'',HEREIL Agnes,Pompiers,M2F/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
13,32'40'',DUJARDIN Coralie,Ac Gigouzac Saint Germain,M2F/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
14,32'41'',PAVARD Ghislaine,Ac Gigouzac Saint Germain,M6F/56,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,33'12'',LAVAYSSE Matheo,Pompiers,JUM/06,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,33'13'',DOUSSET Stephanie,Pompiers,M0F/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
15,34'44'',BALBARIE Isabelle,Saint-cere Athletisme Club*,M2F/77,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'13'',MARSIS Celia,Pompiers,ESF/03,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
16,35'14'',LUCAS Oriane,Saint-cere Athletisme Club*,SEF/92,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'21'',MAGRY Patrick,Pompiers,M3M/73,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,36'39'',BOUYSSOU Fanny,Pompiers,SEF/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
17,36'44'',PONTHIER Carine,Athle 46,M2F/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
18,36'44'',LASFARGUES Caroline,Athle 46,M2F/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,42'11'',LAFAGE Audrey,Pompiers,SEF/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,49'26'',BLATY Sophie,Pompiers,M3F/73,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,15pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,46pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,49pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,64pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,90pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,110pt,,No Club,,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,30'37'',CUVILLIER Romain,Cahors A,SEM/01,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,30'38'',ROUX Arthur,,SEM/97,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,31'22'',DECREMPS Enzo,Pompiers,ESM/04,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
2,31'42'',DELPY Fabien,Ac Gigouzac Saint Germain,M0M/86,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
3,31'48'',COLOMBO Mathieu,S/l Saint-cere Athletisme Club,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
4,32'16'',GREIN Clement,S/l Saint-cere Athletisme Club,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
5,32'31'',CALLES Joris,Ac Gigouzac Saint Germain,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,32'33'',FEROLDI Sophia,,SEM/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,32'55'',MARQUIS Patrice,S/l Monflanquin Athletic Club,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
6,33'08'',BACHELOT Erwan,S/l Saint-cere Athletisme Club,M1M/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
7,33'26'',BARTHEZ Yoann,Ac Gigouzac Saint Germain,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,34'16'',BEUVIN Jeremy,S/l Monflanquin Athletic Club,SEM/94,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
8,34'36'',PAUZIE Daniel,S/l Saint-cere Athletisme Club,M4M/65,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
9,34'51'',LALLOUETTE Regis,Athle 46,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
10,34'57'',TOUCAS Fabien,Athle 46,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,35'57'',PONS Louis,,SEM/93,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
11,36'03'',ROUSSEL Paul,Cahors A,ESM/03,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
12,37'21'',BLAIN Pierre-Louis,S/l Saint-cere Athletisme Club,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,37'22'',ROUCHON Alexandre,Pompiers,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
13,37'23'',BOCCARA Antonin,Saint-cere Athletisme Club*,SEM/92,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
14,37'25'',SOUILLE Ronan,Ac Gigouzac Saint Germain,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
15,37'42'',FOURNIAL Christophe,Cahors A,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,37'43'',RAMBIE Damien,,SEM/91,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,38'11'',PATERNE Michel,,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
16,38'27'',CALLES Philippe,Ac Gigouzac Saint Germain,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
17,38'30'',FRAYSSI Nicolas,Ac Gigouzac Saint Germain,M2M/78,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,38'47'',DEJOU Pierre,Pompiers,SEM/98,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
18,39'05'',DUDON Frederic,Ac Gigouzac Saint Germain,M2M/79,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
19,39'16'',GUY Stephane,Ac Gigouzac Saint Germain,M3M/72,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
20,39'20'',BRAULT Gabriel,Ac Gigouzac Saint Germain,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'42'',BORDE Bertrand,,M1M/84,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'46'',PLANCASSAGNE Yoann,,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,39'55'',CELLIER Thibeau,Pompiers,M0M/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
21,39'55'',LEPORC Jerome,Ac Gigouzac Saint Germain,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
22,39'56'',ROCHELLI Jean-Noel,Athle 46,M3M/74,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
23,40'33'',LE LAY Paul,Ac Gigouzac Saint Germain,M5M/63,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
24,40'38'',PELTIER Sebastien,Ac Gigouzac Saint Germain,M4M/67,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,40'41'',NATHAN Christiano,Pompiers,M0M/88,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
25,41'28'',PERIE Jean-Luc,Figeac Ac,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
26,41'36'',LONZIEME Thierry,Athle 46,M6M/59,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
27,41'38'',LASTRA Claudio,Ac Gigouzac Saint Germain,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
28,42'10'',RAVAYROL Thierry,Ac Gigouzac Saint Germain,M4M/69,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
29,42'28'',EBER Guillaume,Saint-cere Athletisme Club*,SEM/96,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
30,42'29'',BOURREE Ghislain,Ac Gigouzac Saint Germain,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,42'54'',GOSSELIN Landry,Pompiers,SEM/97,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
31,43'15'',CAZAGOU Patrice,Ac Gigouzac Saint Germain,M3M/70,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
32,43'17'',BARRUE Max,Saint-cere Athletisme Club*,M6M/59,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,43'58'',LAFARGUE Bastien,Pompiers,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
33,44'11'',SALSAC Laurent,Saint-cere Athletisme Club*,M1M/81,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,44'41'',SAUGER Mathieu,Pompiers,M0M/87,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
34,44'54'',LE GOFF Francois,Athle 46,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,45'57'',HADJ KACI Mohand,Pompiers,M4M/68,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
35,46'45'',BOUCHUD Christian,Ac Gigouzac Saint Germain,M7M/54,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,48'13'',LAUMONIER Francois,Pompiers,M2M/76,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,50'03'',LALANNE Kevin,Pompiers,SEM/93,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
36,50'44'',MACK Daniel,Saint-cere Athletisme Club*,M5M/60,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,50'44'',DEFFREIX Yanick,Pompiers,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
37,50'44'',ROUGIE Christian,Saint-cere Athletisme Club*,M6M/57,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,51'50'',PONTIER Julien,Pompiers,M1M/82,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,58'05'',DESPRATS Sylvain,Pompiers,M1M/83,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
HC,58'05'',JAMMES Denis,Pompiers,M3M/71,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
38,1h00'13'',MEZIERES Vincent,Athle 46,M3M/74,3350,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46.0,Meet,Dép
1,33pt,,No Club,,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
1,42pt,,No Club,,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
2,68pt,,No Club,,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
3,70pt,,No Club,,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
1,14'30'',BERNARD Hugo,Gap Hautes Alpes Athletisme*,ESM/03,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
2,14'35'',PETIT Arthur,Gap Hautes Alpes Athletisme*,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
3,14'48'',EYME Ernest,S/l Embrun,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
4,15'03'',BOURRIN Samuel,Team Provence Endurance,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
5,15'07'',BAPTISTE Nicolas,Gap Hautes Alpes Athletisme*,SEM/95,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
6,15'21'',LORENTE Thomas,S/l Embrun,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
7,15'41'',LESPRILLIER Liam,S/l Trail Running Athletique C,CAM/08,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
8,15'44'',BOCHEREAU Romain,Ep Manosque Athletisme,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
9,15'55'',MORADELA Adrien,Ep Manosque Athletisme,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
10,16'07'',MORADELA Matthias,Ep Manosque Athletisme,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
11,16'23'',LE DORAN Tom,S/l Serre-chevalier Briancon A,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
12,16'39'',GAILLARD Christian,S/l Ca Veynes,M1M/83,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
HC,16'39'',LEROY Anatol,Triathlon,CAM/08,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
13,16'51'',FORTUNE GASPA Maxence,S/l Ca Veynes,CAM/08,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
14,17'11'',BELIN Mathilde,S/l Serre-chevalier Briancon A,SEF/91,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
15,17'43'',TAIBI MAZYGH Abdessalam (Esp),Ep Manosque Athletisme,SEM/00,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
16,17'51'',PENANT Louis,S/l Embrun,CAM/07,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
17,18'33'',MAZELIER Julie,Penitents En Durance*,M0F/86,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
18,18'38'',ISAMBERT Julien,S/l Trail Running Athletique C,M1M/81,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
19,18'48'',COULAUD Esther,S/l Trail Running Athletique C,M0F/85,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
20,18'53'',VITUPIER Sam,Ep Manosque Athletisme,CAM/08,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
21,19'04'',CORDEIRO Francisco,S/l Ca Veynes,M4M/66,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
22,19'11'',LE BARAZER Alexia,S/l Serre-chevalier Briancon A,JUF/06,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
23,19'28'',MIGIEU Emma,S/l Serre-chevalier Briancon A,JUF/06,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
24,19'40'',LESPRILLIER Marion,S/l Trail Running Athletique C,M1F/84,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
HC,20'06'',PATTYN Jules,Triathlon,CAM/08,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
25,20'10'',FANIA Herve,Penitents En Durance*,M2M/75,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
26,20'18'',HAS Yolaine,S/l Trail Running Athletique C,SEF/97,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
27,22'59'',HERMITTE Anne,S/l Trail Running Athletique C,M0F/86,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
1,20pt,,No Club,,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
1,9'50'',GAILLARD Laura,S/l Ca Veynes,BEF/12,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
2,10'17'',LEBRAS Adele,Gap Hautes Alpes Athletisme*,BEF/11,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
3,10'26'',AUDIER IMBERT Lili,S/l Embrun,BEF/11,4852,06/01,Cross,Championnats départementaux 04 & 05 de cross,Les mees,PCA,4.0,,Dép
